Threshold,precision_0,recall_0,f-score_0,Precision,Recall,F1.Score,accuracy,MCC,Algorithm
0.01,0.974476491720023,0.973082717078725,0.97373313346846,0.823518728130693,0.827706096720181,0.823980308525974,0.95430303030303,0.798827370424186,BERT
0.02,0.973587973109215,0.974334347060373,0.973918898299178,0.829298270144377,0.821372993203979,0.823744810747756,0.954575427297498,0.798738806191271,BERT
0.03,0.973210101010297,0.975481810602119,0.974306533595019,0.834993517243125,0.81856101644834,0.825218014551295,0.955211378086037,0.800571242151788,BERT
0.04,0.973130351950261,0.976211955303128,0.974628444173518,0.839404474826581,0.817856791096228,0.826893219122533,0.955756337214103,0.802683291106864,BERT
0.05,0.972932800884006,0.976733658277477,0.974795591394583,0.841727769057438,0.816453265044814,0.827513623594039,0.9560288993477,0.803359510472494,BERT
0.06,0.97283624489222,0.977046484137748,0.974904228782453,0.84342469867442,0.815749039692702,0.828022662415697,0.956210552390389,0.803968018146672,BERT
0.07,0.972746197382576,0.977359527691728,0.975014623790404,0.845090798574326,0.815044814340589,0.828440408008623,0.956392370572207,0.804536682908184,BERT
0.08,0.972550799316907,0.977776737685611,0.975127387674915,0.84706878364347,0.813636363636364,0.828777012760885,0.956574023614895,0.804949251489541,BERT
0.09,0.972453043793559,0.977881121819223,0.975129652857573,0.847644408797367,0.812932138284251,0.828665339859322,0.956574023614896,0.804871103602106,BERT
0.1,0.97235883457493,0.978089781239592,0.975185652755169,0.848789550296531,0.81223283758495,0.828833585214434,0.956664932705805,0.805131478291341,BERT
0.11,0.97225684031007,0.978089781239592,0.975134629047892,0.848689660175664,0.811528612232837,0.828430459747854,0.95657410618446,0.804678045099827,BERT
0.12,0.97215688541914,0.978194056526349,0.975136750428337,0.849213860092989,0.810824386880725,0.828333602060787,0.95657410618446,0.804587412290987,BERT
0.13,0.972054168057914,0.978194056526349,0.975085847979479,0.849076994750826,0.810120161528612,0.827929188577221,0.956483279663116,0.804121084635015,BERT
0.14,0.971950473303056,0.978194056526349,0.975034679324944,0.84894878962262,0.809420860829312,0.827538624953508,0.956392453141772,0.803663452703236,BERT
0.15,0.971950473303056,0.978194056526349,0.975034679324944,0.84894878962262,0.809420860829312,0.827538624953508,0.956392453141772,0.803663452703236,BERT
0.16,0.971950473303056,0.978194056526349,0.975034679324944,0.84894878962262,0.809420860829312,0.827538624953508,0.956392453141772,0.803663452703236,BERT
0.17,0.971853138015666,0.978298331813106,0.975037103458248,0.849500364658404,0.808716635477199,0.827416158332321,0.956392370572207,0.803573957663004,BERT
0.18,0.971755027039643,0.978298331813106,0.974986802740522,0.849427932382581,0.808012410125086,0.82696471788088,0.956301544050863,0.803113171348339,BERT
0.19,0.971755027039643,0.978298331813106,0.974986802740522,0.849427932382581,0.808012410125086,0.82696471788088,0.956301544050863,0.803113171348339,BERT
0.2,0.971755027039643,0.978298331813106,0.974986802740522,0.849427932382581,0.808012410125086,0.82696471788088,0.956301544050863,0.803113171348339,BERT
0.21,0.971758797242544,0.978402715946717,0.975040592362971,0.849999179605685,0.808012410125086,0.827239247621602,0.956392370572207,0.803448977321111,BERT
0.22,0.971767321362887,0.978715868347553,0.97520100229263,0.851804317015483,0.808012410125086,0.828116191209955,0.95666501527537,0.804502748781927,BERT
0.23,0.971767321362887,0.978715868347553,0.97520100229263,0.851804317015483,0.808012410125086,0.828116191209955,0.95666501527537,0.804502748781927,BERT
0.24,0.971767321362887,0.978715868347553,0.97520100229263,0.851804317015483,0.808012410125086,0.828116191209955,0.95666501527537,0.804502748781927,BERT
0.25,0.971769437750858,0.978820252481164,0.975254817706312,0.852330588129989,0.808012410125086,0.828398291492055,0.956755841796714,0.804825618815532,BERT
0.26,0.971769437750858,0.978820252481164,0.975254817706312,0.852330588129989,0.808012410125086,0.828398291492055,0.956755841796714,0.804825618815532,BERT
0.27,0.971769437750858,0.978820252481164,0.975254817706312,0.852330588129989,0.808012410125086,0.828398291492055,0.956755841796714,0.804825618815532,BERT
0.28,0.971571559252061,0.978924636614776,0.975207540278207,0.852629407044183,0.806608884073673,0.827818285232782,0.956664932705805,0.804216291539538,BERT
0.29,0.971475520069251,0.979029020748387,0.97521072382353,0.853100627893715,0.80590465872156,0.827660558545937,0.95666485013624,0.804089259517236,BERT
0.3,0.971380074670419,0.979237789015611,0.975266624270171,0.854220227591161,0.805200433369448,0.827837133955046,0.956755759227149,0.804342553978959,BERT
0.31,0.971380074670419,0.979237789015611,0.975266624270171,0.854220227591161,0.805200433369448,0.827837133955046,0.956755759227149,0.804342553978959,BERT
0.32,0.971382182151978,0.979342173149223,0.975320326892859,0.854760485520753,0.805200433369448,0.828123078841475,0.956846585748493,0.804671371232216,BERT
0.33,0.971382182151978,0.979342173149223,0.975320326892859,0.854760485520753,0.805200433369448,0.828123078841475,0.956846585748493,0.804671371232216,BERT
0.34,0.971384722600334,0.97944644843598,0.975374134964618,0.8552929239995,0.805200433369448,0.828403171107162,0.956937412269837,0.804995770369517,BERT
0.35,0.971285634920164,0.979550723722737,0.975376411239332,0.855810522343186,0.804496208017335,0.828296788128439,0.956937412269837,0.804900398978564,BERT
0.36,0.971288489779134,0.979655107856348,0.975429271176598,0.856517953445548,0.804496208017335,0.828613461679313,0.957028321360746,0.805294124811275,BERT
0.37,0.971187232901207,0.979655107856348,0.975378405458306,0.856417456248891,0.803791982665222,0.828201275299385,0.956937494839402,0.804837634565349,BERT
0.38,0.971187232901207,0.979655107856348,0.975378405458306,0.856417456248891,0.803791982665222,0.828201275299385,0.956937494839402,0.804837634565349,BERT
0.39,0.971190700744838,0.979759383143105,0.975431421125184,0.857109519740954,0.803791982665222,0.828505931792202,0.957028321360746,0.805222358855883,BERT
0.4,0.971088304067385,0.979759383143105,0.975380570401888,0.856973477658603,0.803087757313109,0.828098300556273,0.956937494839402,0.804755361958853,BERT
0.41,0.970987257048272,0.979759383143105,0.975329757558564,0.856871502561996,0.802383531960997,0.827683148806705,0.956846668318058,0.804297439863962,BERT
