Threshold,precision_0,recall_0,f-score_0,Precision,Recall,F1.Score,accuracy,MCC,Algorithm
0.73,0.960188838,0.973082499,0.966568457,0.802989462,0.727853836,0.762491381,0.94139749,0.731002343,ALBERT
0.74,0.960193726,0.973186884,0.966623015,0.80348085,0.727853836,0.762734471,0.941488399,0.731301788,ALBERT
0.75,0.959997784,0.973291159,0.966576324,0.803742331,0.726445386,0.762123032,0.94139749,0.730668772,ALBERT
0.76,0.960006987,0.973499818,0.966684996,0.804764583,0.726445386,0.762625185,0.941579225,0.731285756,ALBERT
0.77,0.959909076,0.973499818,0.966635302,0.804567733,0.72574116,0.762146044,0.941488316,0.730776235,ALBERT
0.78,0.959909076,0.973499818,0.966635302,0.804567733,0.72574116,0.762146044,0.941488316,0.730776235,ALBERT
0.79,0.95982086,0.973708586,0.966693709,0.805506704,0.72504186,0.762189999,0.941579308,0.730929448,ALBERT
0.8,0.95982086,0.973708586,0.966693709,0.805506704,0.72504186,0.762189999,0.941579308,0.730929448,ALBERT
0.81,0.95982086,0.973708586,0.966693709,0.805506704,0.72504186,0.762189999,0.941579308,0.730929448,ALBERT
0.82,0.959622682,0.973708586,0.966593589,0.805182076,0.723633409,0.761280283,0.941397572,0.729948406,ALBERT
0.83,0.959627201,0.973812971,0.966647141,0.805816996,0.723633409,0.761557706,0.941488399,0.730305856,ALBERT
0.84,0.95963215,0.973917355,0.966700962,0.806420171,0.723633409,0.761823233,0.941579308,0.730649202,ALBERT
0.85,0.959535765,0.973917355,0.966651347,0.806264916,0.722929183,0.761326909,0.941488399,0.730146937,ALBERT
0.86,0.959549189,0.974230398,0.96681301,0.807994377,0.722929183,0.762126858,0.941761044,0.731151858,ALBERT
0.87,0.959549189,0.974230398,0.96681301,0.807994377,0.722929183,0.762126858,0.941761044,0.731151858,ALBERT
0.88,0.95955845,0.974439058,0.966921453,0.809048819,0.722929183,0.762635343,0.941942779,0.731781559,ALBERT
0.89,0.95955845,0.974439058,0.966921453,0.809048819,0.722929183,0.762635343,0.941942779,0.731781559,ALBERT
0.9,0.959473799,0.97475221,0.96703365,0.810558187,0.722224958,0.762954905,0.94212468,0.732268981,ALBERT
0.91,0.959394827,0.975273913,0.967251221,0.813525593,0.721520733,0.763910125,0.942488151,0.73355757,ALBERT
0.92,0.959208371,0.975586957,0.967311112,0.815180263,0.720112282,0.763869714,0.94257906,0.733683889,ALBERT
0.93,0.95902096,0.975795616,0.967318732,0.816092559,0.718703831,0.763479862,0.94257906,0.733394466,ALBERT
0.94,0.958928652,0.976004167,0.967374755,0.8172956,0.717999606,0.763633271,0.942669887,0.733667129,ALBERT
0.95,0.958631058,0.976004167,0.967223731,0.816937127,0.715891855,0.762302198,0.942397407,0.732249902,ALBERT
0.96,0.958557152,0.976526087,0.967441164,0.820127188,0.715187629,0.763226722,0.942760879,0.73359976,ALBERT
0.97,0.958399328,0.977360943,0.967768942,0.825208273,0.713779179,0.764529126,0.943306168,0.735577153,ALBERT
0.98,0.957976453,0.978926052,0.968321745,0.834129093,0.710258052,0.766379029,0.944214763,0.738538219,ALBERT
0.99,0.957174821,0.980491487,0.968673656,0.843278904,0.703934798,0.766297291,0.944759888,0.739780225,ALBERT
