Fold,precision_0,recall_0,f-score_0,precision_1,recall_1,f-score_1,accuracy,mcc,threshold
1,0.9902506963788301,0.7413972888425443,0.8479427549194991,0.3524804177545692,0.9507042253521126,0.5142857142857142,0.7683923705722071,0.4870366752651667,0.01
1,0.9861111111111112,0.8143899895724713,0.8920616790405482,0.42394822006472493,0.9225352112676056,0.5809312638580931,0.8283378746594006,0.5497117926542059,0.02
1,0.9829476248477467,0.8415015641293013,0.9067415730337078,0.45714285714285713,0.9014084507042254,0.6066350710900473,0.849227974568574,0.5717933424793729,0.03
1,0.9799291617473436,0.8654848800834203,0.9191583610188261,0.4921259842519685,0.8802816901408451,0.6313131313131314,0.8673932788374206,0.5933320715995569,0.04
1,0.9803012746234068,0.8821689259645464,0.9286498353457739,0.5252100840336135,0.8802816901408451,0.6578947368421053,0.8819255222524978,0.6208280332397358,0.05
1,0.9772727272727273,0.8967674661105318,0.9352909189777053,0.5520361990950227,0.8591549295774648,0.6721763085399449,0.8919164396003633,0.6325476042788802,0.060000000000000005
1,0.9774266365688488,0.9030239833159541,0.9387533875338754,0.5674418604651162,0.8591549295774648,0.6834733893557422,0.8973660308810173,0.6444278693067352,0.06999999999999999
1,0.976457399103139,0.908237747653806,0.9411129119394921,0.5789473684210527,0.852112676056338,0.6894586894586895,0.9009990917347865,0.6498478670563235,0.08
1,0.9767441860465116,0.9197080291970803,0.9473684210526316,0.6111111111111112,0.852112676056338,0.711764705882353,0.9109900090826522,0.6735865868907681,0.09
1,0.976897689768977,0.9259645464025026,0.9507494646680943,0.6302083333333334,0.852112676056338,0.7245508982035928,0.9164396003633061,0.6872956919648764,0.09999999999999999
1,0.9759036144578314,0.9290928050052137,0.951923076923077,0.6382978723404256,0.8450704225352113,0.7272727272727273,0.9182561307901907,0.6895594284612939,0.11
1,0.9748633879781421,0.9301355578727841,0.951974386339381,0.6397849462365591,0.8380281690140845,0.725609756097561,0.9182561307901907,0.6871321234923968,0.12
1,0.9750271444082519,0.9363920750782064,0.9553191489361702,0.6611111111111111,0.8380281690140845,0.7391304347826088,0.9237057220708447,0.701882000848967,0.13
1,0.9751351351351352,0.940563086548488,0.9575371549893843,0.6761363636363636,0.8380281690140845,0.7484276729559748,0.927338782924614,0.7120914926753582,0.14
1,0.975268817204301,0.9457768508863399,0.9602964531498147,0.695906432748538,0.8380281690140845,0.7603833865814696,0.9318801089918256,0.7253071970868326,0.15000000000000002
1,0.9752953813104189,0.9468196037539103,0.9608465608465607,0.7,0.8380281690140845,0.7628205128205129,0.932788374205268,0.7280137883185978,0.16
1,0.974304068522484,0.948905109489051,0.9614368726888536,0.7065868263473054,0.8309859154929577,0.7637540453074434,0.9336966394187103,0.7287116699360024,0.17
1,0.9733191035218783,0.9509906152241918,0.9620253164556962,0.7134146341463414,0.823943661971831,0.7647058823529411,0.9346049046321526,0.7295022362035946,0.18000000000000002
1,0.9733475479744137,0.9520333680917622,0.9625724828676858,0.7177914110429447,0.823943661971831,0.7672131147540984,0.935513169845595,0.7323304969612648,0.19
1,0.972457627118644,0.9572471324296142,0.9647924330005255,0.7388535031847133,0.8169014084507042,0.7759197324414714,0.9391462306993642,0.7420650063412734,0.2
1,0.972457627118644,0.9572471324296142,0.9647924330005255,0.7388535031847133,0.8169014084507042,0.7759197324414714,0.9391462306993642,0.7420650063412734,0.21000000000000002
1,0.9714587737843552,0.9582898852971846,0.9648293963254594,0.7419354838709677,0.8098591549295775,0.7744107744107744,0.9391462306993642,0.7402655701308956,0.22
1,0.9715489989462592,0.9614181438998958,0.9664570230607967,0.756578947368421,0.8098591549295775,0.782312925170068,0.9418710263396912,0.7493921240818043,0.23
1,0.9715789473684211,0.9624608967674662,0.9669984284965951,0.7615894039735099,0.8098591549295775,0.7849829351535836,0.9427792915531336,0.7524896138891463,0.24000000000000002
1,0.9705882352941176,0.9635036496350365,0.967032967032967,0.7651006711409396,0.8028169014084507,0.7835051546391754,0.9427792915531336,0.7508485387718974,0.25
1,0.96760710553814,0.9655891553701773,0.9665970772442589,0.7708333333333334,0.7816901408450704,0.7762237762237763,0.9418710263396912,0.742846721374439,0.26
1,0.9676409185803758,0.9666319082377477,0.9671361502347418,0.7762237762237763,0.7816901408450704,0.7789473684210526,0.9427792915531336,0.7460900432630153,0.27
1,0.9677083333333333,0.9687174139728885,0.9682126107347577,0.7872340425531915,0.7816901408450704,0.784452296819788,0.9445958219800181,0.7526715500917166,0.28
1,0.967741935483871,0.9697601668404588,0.9687500000000001,0.7928571428571428,0.7816901408450704,0.7872340425531914,0.9455040871934605,0.7560108540521655,0.29000000000000004
1,0.9667359667359667,0.9697601668404588,0.9682457053617908,0.7913669064748201,0.7746478873239436,0.7829181494661922,0.9445958219800181,0.7512242572649559,0.3
1,0.966804979253112,0.9718456725755996,0.96931877275091,0.8029197080291971,0.7746478873239436,0.7885304659498208,0.9464123524069028,0.7580201329463048,0.31
1,0.9658031088082901,0.9718456725755996,0.9688149688149689,0.8014705882352942,0.7676056338028169,0.7841726618705036,0.9455040871934605,0.7532340523560228,0.32
1,0.9658031088082901,0.9718456725755996,0.9688149688149689,0.8014705882352942,0.7676056338028169,0.7841726618705036,0.9455040871934605,0.7532340523560228,0.33
1,0.9658031088082901,0.9718456725755996,0.9688149688149689,0.8014705882352942,0.7676056338028169,0.7841726618705036,0.9455040871934605,0.7532340523560228,0.34
1,0.9658385093167702,0.97288842544317,0.9693506493506494,0.8074074074074075,0.7676056338028169,0.7870036101083033,0.9464123524069028,0.7566928093159538,0.35000000000000003
