Fold,precision_0,recall_0,f-score_0,precision_1,recall_1,f-score_1,accuracy,mcc,threshold
1,0.9954545454545455,0.456725755995829,0.6261615439599714,0.2118003025718608,0.9859154929577465,0.348692403486924,0.5249772933696639,0.30288536574435543,0.01
1,0.9912126537785588,0.5881126173096975,0.7382198952879581,0.2575187969924812,0.9647887323943662,0.4065281899109792,0.6366939146230699,0.3708422236546938,0.02
1,0.9906542056074766,0.6631908237747653,0.7945034353529044,0.2962962962962963,0.9577464788732394,0.45257903494176366,0.701180744777475,0.4221116802999177,0.03
1,0.9884726224783862,0.7153284671532847,0.8300060496067756,0.32923832923832924,0.9436619718309859,0.48816029143897993,0.7447774750227066,0.4575680053739648,0.04
1,0.988950276243094,0.7466110531803962,0.8508615567439097,0.35543766578249336,0.9436619718309859,0.5163776493256261,0.7720254314259763,0.48756713026971643,0.05
1,0.9893475366178429,0.7747653806047967,0.8690058479532164,0.38285714285714284,0.9436619718309859,0.5447154471544715,0.7965485921889192,0.5171092944817595,0.060000000000000005
1,0.9883720930232558,0.7977059436913452,0.8828620888632429,0.40672782874617736,0.9366197183098591,0.5671641791044776,0.815622161671208,0.5386390364705876,0.06999999999999999
1,0.988621997471555,0.8154327424400417,0.8937142857142857,0.4290322580645161,0.9366197183098591,0.588495575221239,0.8310626702997275,0.560444386731253,0.08
1,0.9887780548628429,0.8269030239833159,0.9006246450880182,0.44481605351170567,0.9366197183098591,0.6031746031746031,0.8410535876475931,0.5753772350973746,0.09
1,0.9889025893958077,0.8362877997914494,0.9062146892655366,0.4586206896551724,0.9366197183098591,0.6157407407407407,0.849227974568574,0.5881276280739176,0.09999999999999999
1,0.9878493317132442,0.8477580813347236,0.9124579124579124,0.4748201438848921,0.9295774647887324,0.6285714285714286,0.8583106267029973,0.5997077867501224,0.11
1,0.988009592326139,0.8592283628779979,0.9191299498047965,0.4943820224719101,0.9295774647887324,0.6454767726161369,0.8683015440508629,0.6168576148271705,0.12
1,0.986904761904762,0.8644421272158499,0.9216231239577544,0.5019157088122606,0.9225352112676056,0.6501240694789082,0.8719346049046321,0.6202343371993462,0.13
1,0.98698224852071,0.8696558915537018,0.9246119733924613,0.51171875,0.9225352112676056,0.6582914572864322,0.8764759309718437,0.6285431520557745,0.14
1,0.9870588235294118,0.8748696558915537,0.9275843007186292,0.5219123505976095,0.9225352112676056,0.6666666666666666,0.8810172570390554,0.6370683570015064,0.15000000000000002
1,0.986013986013986,0.8821689259645464,0.9312052834342323,0.5349794238683128,0.9154929577464789,0.6753246753246753,0.8864668483197093,0.6446522975432142,0.16
1,0.9860950173812283,0.8873826903023984,0.9341383095499451,0.5462184873949579,0.9154929577464789,0.6842105263157894,0.8910081743869209,0.6537442543627818,0.17
1,0.9862227324913893,0.8957247132429614,0.9387978142076503,0.5652173913043478,0.9154929577464789,0.6989247311827957,0.8982742960944596,0.6688332923200716,0.18000000000000002
1,0.9862700228832952,0.8988529718456726,0.9405346426623022,0.5726872246696035,0.9154929577464789,0.7046070460704608,0.9009990917347865,0.6746736687916134,0.19
1,0.9840909090909091,0.9030239833159541,0.9418162044589451,0.579185520361991,0.9014084507042254,0.7052341597796145,0.9028156221616712,0.6731402745126697,0.2
1,0.9841628959276018,0.9071949947862357,0.9441128594682582,0.5898617511520737,0.9014084507042254,0.713091922005571,0.9064486830154405,0.6812916463784593,0.21000000000000002
1,0.984180790960452,0.908237747653806,0.9446854663774403,0.5925925925925926,0.9014084507042254,0.7150837988826815,0.9073569482288828,0.6833610885233525,0.22
1,0.9830890642615558,0.9092805005213764,0.9447453954496208,0.5934579439252337,0.8943661971830986,0.7134831460674157,0.9073569482288828,0.680690898426524,0.23
1,0.9831838565022422,0.9144942648592284,0.9475958941112911,0.6076555023923444,0.8943661971830986,0.7236467236467237,0.9118982742960945,0.6913078885910876,0.24000000000000002
1,0.9832214765100671,0.9165797705943691,0.9487317862924987,0.6135265700483091,0.8943661971830986,0.7277936962750716,0.9137148047229791,0.6956510778656179,0.25
1,0.979933110367893,0.9165797705943691,0.947198275862069,0.6078431372549019,0.8732394366197183,0.7167630057803468,0.9109900090826522,0.6813493743423465,0.26
1,0.978865406006674,0.9176225234619395,0.9472551130247577,0.6089108910891089,0.8661971830985915,0.7151162790697673,0.9109900090826522,0.6787566903632348,0.27
1,0.978912319644839,0.9197080291970803,0.9483870967741935,0.615,0.8661971830985915,0.7192982456140351,0.9128065395095368,0.6831974733965958,0.28
1,0.9778761061946902,0.921793534932221,0.9490069779924851,0.6192893401015228,0.8591549295774648,0.71976401179941,0.9137148047229791,0.6829022172634006,0.29000000000000004
1,0.977924944812362,0.9238790406673618,0.9501340482573727,0.6256410256410256,0.8591549295774648,0.7240356083086052,0.9155313351498637,0.6874682961044734,0.3
1,0.9780701754385965,0.9301355578727841,0.9535008017103153,0.6455026455026455,0.8591549295774648,0.7371601208459215,0.9209809264305178,0.7015554830527944,0.31
1,0.9770742358078602,0.9332638164754953,0.9546666666666667,0.654054054054054,0.852112676056338,0.7400611620795107,0.9227974568574023,0.7040407109176035,0.32
1,0.9771739130434782,0.9374348279457768,0.9568919638105374,0.6685082872928176,0.852112676056338,0.7492260061919503,0.9264305177111717,0.7140005389732671,0.33
1,0.9771739130434782,0.9374348279457768,0.9568919638105374,0.6685082872928176,0.852112676056338,0.7492260061919503,0.9264305177111717,0.7140005389732671,0.34
1,0.9772481040086674,0.940563086548488,0.9585547290116897,0.6797752808988764,0.852112676056338,0.75625,0.9291553133514986,0.7216692543546465,0.35000000000000003
