precision_0,recall_0,f-score_0,precision_1,recall_1,f-score_1,accuracy,mcc,threshold
0.98463227222832,0.935349322210636,0.959358288770053,0.673684210526316,0.901408450704225,0.771084337349398,0.930971843778383,0.742193663394477,0.01
0.982570806100218,0.940563086548488,0.961108151305274,0.688524590163934,0.887323943661972,0.775384615384615,0.93369663941871,0.745379886099055,0.02
0.980456026058632,0.941605839416058,0.96063829787234,0.688888888888889,0.873239436619718,0.770186335403727,0.932788374205268,0.738520508844241,0.03
0.980498374864572,0.943691345151199,0.961742826780021,0.696629213483146,0.873239436619718,0.775,0.934604904632153,0.743751551331194,0.04
0.980561555075594,0.94681960375391,0.963395225464191,0.708571428571428,0.873239436619718,0.782334384858044,0.93732970027248,0.751751111245865,0.05
0.980561555075594,0.94681960375391,0.963395225464191,0.708571428571428,0.873239436619718,0.782334384858044,0.93732970027248,0.751751111245865,0.06
0.979569892473118,0.949947862356621,0.964531498147168,0.719298245614035,0.866197183098591,0.78594249201278,0.939146230699364,0.755233585274344,0.07
0.979613733905579,0.952033368091762,0.96562665256478,0.727810650887574,0.866197183098591,0.790996784565917,0.940962761126249,0.76081288389117,0.08
0.979679144385027,0.955161626694473,0.96726504751848,0.740963855421687,0.866197183098591,0.798701298701299,0.943687556766576,0.769354584445265,0.09
0.978678038379531,0.957247132429614,0.967843964153927,0.748466257668712,0.859154929577465,0.8,0.944595821980018,0.770481734157579,0.1
0.978678038379531,0.957247132429614,0.967843964153927,0.748466257668712,0.859154929577465,0.8,0.944595821980018,0.770481734157579,0.11
0.978678038379531,0.957247132429614,0.967843964153927,0.748466257668712,0.859154929577465,0.8,0.944595821980018,0.770481734157579,0.12
0.977683315621679,0.959332638164755,0.968421052631579,0.75625,0.852112676056338,0.801324503311258,0.945504087193461,0.771716754976826,0.13
0.977683315621679,0.959332638164755,0.968421052631579,0.75625,0.852112676056338,0.801324503311258,0.945504087193461,0.771716754976826,0.14
0.977730646871686,0.961418143899896,0.969505783385909,0.765822784810127,0.852112676056338,0.806666666666667,0.947320617620345,0.777755509757003,0.15
0.977754237288135,0.962460896767466,0.970047293746716,0.770700636942675,0.852112676056338,0.809364548494983,0.948228882833787,0.780814677756241,0.16
0.977754237288135,0.962460896767466,0.970047293746716,0.770700636942675,0.852112676056338,0.809364548494983,0.948228882833787,0.780814677756241,0.17
0.977754237288135,0.962460896767466,0.970047293746716,0.770700636942675,0.852112676056338,0.809364548494983,0.948228882833787,0.780814677756241,0.18
0.977754237288135,0.962460896767466,0.970047293746716,0.770700636942675,0.852112676056338,0.809364548494983,0.948228882833787,0.780814677756241,0.19
0.977777777777778,0.963503649635037,0.970588235294118,0.775641025641026,0.852112676056338,0.812080536912752,0.94913714804723,0.783900935164155,0.2
0.976744186046512,0.963503649635037,0.97007874015748,0.774193548387097,0.845070422535211,0.808080808080808,0.948228882833787,0.779223191311246,0.21
0.97571277719113,0.963503649635037,0.969569779643232,0.772727272727273,0.838028169014084,0.804054054054054,0.947320617620345,0.77453115777284,0.22
0.97571277719113,0.963503649635037,0.969569779643232,0.772727272727273,0.838028169014084,0.804054054054054,0.947320617620345,0.77453115777284,0.23
0.97571277719113,0.963503649635037,0.969569779643232,0.772727272727273,0.838028169014084,0.804054054054054,0.947320617620345,0.77453115777284,0.24
0.97571277719113,0.963503649635037,0.969569779643232,0.772727272727273,0.838028169014084,0.804054054054054,0.947320617620345,0.77453115777284,0.25
0.975763962065332,0.965589155370177,0.970649895178197,0.782894736842105,0.838028169014084,0.80952380952381,0.94913714804723,0.780814493805565,0.26
0.97578947368421,0.966631908237748,0.971189104243059,0.788079470198676,0.838028169014084,0.812286689419795,0.950045413260672,0.783999262368963,0.27
0.97578947368421,0.966631908237748,0.971189104243059,0.788079470198676,0.838028169014084,0.812286689419795,0.950045413260672,0.783999262368963,0.28
0.975814931650894,0.967674661105318,0.971727748691099,0.793333333333333,0.838028169014084,0.815068493150685,0.950953678474114,0.787213397929189,0.29
0.975814931650894,0.967674661105318,0.971727748691099,0.793333333333333,0.838028169014084,0.815068493150685,0.950953678474114,0.787213397929189,0.3
0.975814931650894,0.967674661105318,0.971727748691099,0.793333333333333,0.838028169014084,0.815068493150685,0.950953678474114,0.787213397929189,0.31
0.975814931650894,0.967674661105318,0.971727748691099,0.793333333333333,0.838028169014084,0.815068493150685,0.950953678474114,0.787213397929189,0.32
0.975840336134454,0.968717413972888,0.972265829408686,0.798657718120805,0.838028169014084,0.81786941580756,0.951861943687557,0.790457389302191,0.33
0.975840336134454,0.968717413972888,0.972265829408686,0.798657718120805,0.838028169014084,0.81786941580756,0.951861943687557,0.790457389302191,0.34
0.975840336134454,0.968717413972888,0.972265829408686,0.798657718120805,0.838028169014084,0.81786941580756,0.951861943687557,0.790457389302191,0.35
0.975840336134454,0.968717413972888,0.972265829408686,0.798657718120805,0.838028169014084,0.81786941580756,0.951861943687557,0.790457389302191,0.36
0.975840336134454,0.968717413972888,0.972265829408686,0.798657718120805,0.838028169014084,0.81786941580756,0.951861943687557,0.790457389302191,0.37
0.975840336134454,0.968717413972888,0.972265829408686,0.798657718120805,0.838028169014084,0.81786941580756,0.951861943687557,0.790457389302191,0.38
0.973794549266247,0.968717413972888,0.971249346576059,0.795918367346939,0.823943661971831,0.809688581314879,0.950045413260672,0.781102726055387,0.39
0.973794549266247,0.968717413972888,0.971249346576059,0.795918367346939,0.823943661971831,0.809688581314879,0.950045413260672,0.781102726055387,0.4
